id name jersey teamName
1 Player1 42 Team468
2 Player2 98 Team501
3 Player3 63 Team725
4 Player4 94 Team359
5 Player5 35 Team465
6 Player6 63 Team146
7 Player7 17 Team828
8 Player8 62 Team492
9 Player9 26 Team943
10 Player10 76 Team437
11 Player11 19 Team605
12 Player12 42 Team154
13 Player13 95 Team383
14 Player14 97 Team717
15 Player15 18 Team896
16 Player16 3 Team727
17 Player17 21 Team539
18 Player18 88 Team913
19 Player19 27 Team300
20 Player20 8 Team895
21 Player21 93 Team812
22 Player22 39 Team334
23 Player23 52 Team665
24 Player24 94 Team712
25 Player25 39 Team869
26 Player26 6 Team645
27 Player27 92 Team758
28 Player28 40 Team860
29 Player29 12 Team742
30 Player30 8 Team779
31 Player31 41 Team36
32 Player32 15 Team843
33 Player33 91 Team107
34 Player34 32 Team943
35 Player35 59 Team649
36 Player36 24 Team806
37 Player37 51 Team730
38 Player38 17 Team351
39 Player39 58 Team102
40 Player40 40 Team549
41 Player41 28 Team624
42 Player42 28 Team955
43 Player43 46 Team841
44 Player44 17 Team377
45 Player45 72 Team309
46 Player46 16 Team440
47 Player47 75 Team324
48 Player48 93 Team539
49 Player49 81 Team83
50 Player50 61 Team542
51 Player51 82 Team116
52 Player52 86 Team659
53 Player53 34 Team931
54 Player54 19 Team307
55 Player55 93 Team387
56 Player56 72 Team746
57 Player57 96 Team73
58 Player58 34 Team830
59 Player59 48 Team574
60 Player60 49 Team513
61 Player61 29 Team291
62 Player62 54 Team637
63 Player63 81 Team768
64 Player64 94 Team575
65 Player65 72 Team53
66 Player66 27 Team151
67 Player67 13 Team725
68 Player68 8 Team431
69 Player69 22 Team192
70 Player70 89 Team338
71 Player71 14 Team288
72 Player72 34 Team384
73 Player73 96 Team910
74 Player74 35 Team759
75 Player75 66 Team589
76 Player76 87 Team947
77 Player77 84 Team31
78 Player78 79 Team169
79 Player79 10 Team592
80 Player80 52 Team656
81 Player81 86 Team360
82 Player82 4 Team538
83 Player83 66 Team484
84 Player84 74 Team42
85 Player85 39 Team351
86 Player86 95 Team837
87 Player87 69 Team21
88 Player88 43 Team22
89 Player89 25 Team200
90 Player90 67 Team485
91 Player91 65 Team735
92 Player92 54 Team1000
93 Player93 85 Team939
94 Player94 70 Team789
95 Player95 11 Team468
96 Player96 66 Team894
97 Player97 97 Team484
98 Player98 87 Team422
99 Player99 55 Team618
100 Player100 44 Team515
101 Player101 54 Team617
102 Player102 27 Team452
103 Player103 9 Team250
104 Player104 86 Team557
105 Player105 29 Team304
106 Player106 87 Team9
107 Player107 4 Team610
108 Player108 41 Team703
109 Player109 28 Team486
110 Player110 25 Team344
111 Player111 32 Team588
112 Player112 11 Team504
113 Player113 24 Team201
114 Player114 94 Team619
115 Player115 88 Team797
116 Player116 48 Team282
117 Player117 87 Team799
118 Player118 92 Team158
119 Player119 79 Team623
120 Player120 26 Team293
121 Player121 99 Team180
122 Player122 74 Team658
123 Player123 39 Team192
124 Player124 16 Team889
125 Player125 50 Team512
126 Player126 66 Team635
127 Player127 18 Team56
128 Player128 34 Team647
129 Player129 29 Team887
130 Player130 66 Team434
131 Player131 71 Team143
132 Player132 85 Team417
133 Player133 3 Team999
134 Player134 27 Team652
135 Player135 23 Team700
136 Player136 93 Team477
137 Player137 74 Team390
138 Player138 27 Team713
139 Player139 27 Team511
140 Player140 16 Team870
141 Player141 42 Team689
142 Player142 37 Team790
143 Player143 10 Team424
144 Player144 53 Team586
145 Player145 27 Team286
146 Player146 62 Team427
147 Player147 7 Team758
148 Player148 32 Team933
149 Player149 12 Team155
150 Player150 81 Team190
151 Player151 78 Team330
152 Player152 92 Team693
153 Player153 42 Team556
154 Player154 69 Team550
155 Player155 17 Team513
156 Player156 50 Team61
157 Player157 38 Team754
158 Player158 3 Team424
159 Player159 44 Team997
160 Player160 56 Team530
161 Player161 77 Team438
162 Player162 67 Team950
163 Player163 95 Team196
164 Player164 31 Team417
